Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
0.07,0.283791903,0.001209704,0.018606407,0.004970238,,0.013016082,,0.00631136,,0.00814234,0.132678218,0.012737779,0.00351025,,,,,0.06272,0.025255705,3.214803215,1.803445436,0.557489413,,,
0.047579601,0.252348077,,0.015319658,0.003664003,,0.012,,0.006196854,,0.006804897,0.12707,0.012175798,0.003127007,,,,,0.06272,0.014257562,3.030065726,1.722565965,0.54056,,,
0.047579601,0.252348077,,0.01384,0.002296012,,0.011342399,,0.005561416,,0.006375152,0.123,0.00631136,0.00267994,,,,,0.05446,0.008409856,3.00999,1.66719,0.4698665,,,
0.035657357,0.252348077,,0.011041534,0.001754062,,0.011041534,,,,0.00631136,0.105678505,0.005062026,0.001958812,,,,,0.044928745,0.003902507,3.00999,1.631829906,0.42581,,,
0.03524,0.252348077,,0.010324185,0.001209704,,0.010658364,,,,0.005561416,0.09599,0.004442534,0.001795698,,,,,0.04173,0.001741686,2.78764,1.532030329,0.384761122,,,
0.027807273,0.236290414,,0.010298944,,,0.010324185,,,,0.005356699,0.0958,0.002361505,0.000920865,,,,,0.039304687,0.001190407,2.75838,1.387498697,0.341663693,,,
0.027807273,0.228192923,,0.007792369,,,0.00856,,,,0.005324747,0.089706049,0.001958812,,,,,,0.03442,0.000608672,2.44181,1.365424355,0.330952124,,,
0.025201143,0.185511054,,0.006975775,,,0.008503013,,,,0.004967711,0.080015473,0.001854641,,,,,,0.03122,,2.428456575,1.340517994,0.31403,,,
0.022757955,0.184497846,,0.004970238,,,0.007792369,,,,0.004653577,0.066518964,0.001416334,,,,,,0.02213,,2.363384631,1.13475,0.298608391,,,
0.019448548,0.168245748,,0.004237699,,,0.00490875,,,,0.004479997,0.06380393,,,,,,,0.020168286,,1.9,1.117002973,0.251140895,,,
0.018606407,0.1575,,0.003659633,,,0.003918151,,,,0.004317424,0.06380393,,,,,,,0.017392817,,1.803445436,1.082321643,0.200224519,,,
0.0175,0.15651283,,0.003123425,,,0.003659633,,,,0.003918151,0.058666951,,,,,,,0.01705,,1.722565965,1.03047,0.18538581,,,
0.016,0.147481518,,0.003123425,,,0.003478821,,,,0.003707738,0.05587,,,,,,,0.016553353,,1.66719,1,0.180889992,,,
0.015319658,0.14268,,0.003123425,,,0.003123425,,,,0.003123425,0.05381,,,,,,,0.014257562,,1.532030329,0.95487,0.179554264,,,
0.014844094,0.123642655,,0.002970874,,,0.002771321,,,,0.002970874,0.042403717,,,,,,,0.011795142,,1.387498697,0.918737436,0.176460849,,,
0.012,0.12076,,0.002512925,,,0.002296012,,,,0.00294374,0.04185,,,,,,,0.01118,,1.245615257,0.871589896,0.168845588,,,
0.011041534,0.10694266,,0.002073583,,,0.001998957,,,,0.001432112,0.037076317,,,,,,,0.0102,,1.13475,0.828281715,0.168655303,,,
0.010324185,0.10694266,,0.001754062,,,0.0018802,,,,0.001209704,0.036268171,,,,,,,0.008503013,,1.106665658,0.74947,0.147154249,,,
0.010298944,0.10694266,,0.001209704,,,0.001754062,,,,0.001209704,0.034764409,,,,,,,0.008,,1.03047,0.72894123,0.13352018,,,
0.00856,0.105092827,,0.001081329,,,0.001587458,,,,0.00071909,0.030279578,,,,,,,0.006804897,,1.03047,0.557489413,0.120207737,,,
0.008503013,0.078310934,,0.000660915,,,0.001519528,,,,,0.020169022,,,,,,,0.006133155,,1,0.555454227,0.112690354,,,
0.007792369,0.073792132,,,,,0.001209704,,,,,0.020168286,,,,,,,0.005094604,,0.95487,0.54056,0.107406796,,,
0.007407383,0.07129,,,,,0.001209704,,,,,0.01895752,,,,,,,0.004981954,,0.871589896,0.51584565,0.101194927,,,
0.004970238,0.047579601,,,,,0.001116996,,,,,0.0185,,,,,,,0.003795511,,0.828281715,0.496790885,0.089,,,
0.004237699,0.035657357,,,,,0.001116996,,,,,0.016076639,,,,,,,,,0.74947,0.4698665,0.077785303,,,
0.003659633,0.03524,,,,,0.000946501,,,,,0.014257562,,,,,,,,,0.72894123,0.42581,0.05222,,,
0.003123425,0.027807273,,,,,0.000493091,,,,,0.009212391,,,,,,,,,0.681263559,0.418506407,0.051044746,,,
0.003123425,0.027807273,,,,,0.000395442,,,,,0.007,,,,,,,,,0.557489413,0.39866,0.050534882,,,
0.001754062,0.025201143,,,,,0.00035308,,,,,0.005191715,,,,,,,,,0.555454227,0.38967372,0.043458423,,,
0.001519528,0.022757955,,,,,,,,,,0.005062026,,,,,,,,,0.54056,0.384761122,0.04074,,,
0.001519528,0.018606407,,,,,,,,,,0.002751079,,,,,,,,,0.51584565,0.36377,0.03491,,,
0.001209704,0.015319658,,,,,,,,,,0.002512925,,,,,,,,,0.4698665,0.353744275,0.025255705,,,
0.001081329,0.014844094,,,,,,,,,,0.00223429,,,,,,,,,0.42581,0.350929995,0.024191383,,,
0.00071909,0.013677565,,,,,,,,,,0.001854641,,,,,,,,,0.418506407,0.341663693,0.02,,,
,0.012,,,,,,,,,,0.001794297,,,,,,,,,0.384761122,0.340121195,0.019837,,,
,0.011041534,,,,,,,,,,0.001604005,,,,,,,,,0.353744275,0.330952124,0.014257562,,,
,0.010324185,,,,,,,,,,0.001416334,,,,,,,,,0.341663693,0.31403,0.012642479,,,
,0.010298944,,,,,,,,,,,,,,,,,,,0.340121195,0.298608391,0.012113573,,,
,0.00856,,,,,,,,,,,,,,,,,,,0.33985,0.277521674,0.009800651,,,
,0.007792369,,,,,,,,,,,,,,,,,,,0.330952124,0.267795725,0.008409856,,,
,0.006495966,,,,,,,,,,,,,,,,,,,0.31403,0.251140895,0.00631136,,,
,0.00631136,,,,,,,,,,,,,,,,,,,0.298608391,0.2488,0.003902507,,,
,0.004970238,,,,,,,,,,,,,,,,,,,0.267795725,0.24647,0.003902507,,,
,0.004501457,,,,,,,,,,,,,,,,,,,0.24647,0.228192923,0.00255346,,,
,0.00436345,,,,,,,,,,,,,,,,,,,0.228192923,0.218752403,0.001909447,,,
,0.004237699,,,,,,,,,,,,,,,,,,,0.204843879,0.203084099,0.001772886,,,
,0.004136665,,,,,,,,,,,,,,,,,,,0.203084099,0.200224519,0.001741686,,,
,0.003664003,,,,,,,,,,,,,,,,,,,0.18538581,0.18538581,,,,
,0.003659633,,,,,,,,,,,,,,,,,,,0.1796008,0.180889992,,,,
,0.003478821,,,,,,,,,,,,,,,,,,,0.179554264,0.1796008,,,,
